PARK,PARK_NO,NAME,the_geom,X_COORD,Y_COORD,ARTIST,OWNER,GISOBJID
WASHINGTON (GEORGE),21,Unconditional Love,POINT (-87.60742892015602 41.79219529930224),-87.60742892,41.7921953,Lameck Bonjisi,DuSable Museum,6212
WASHINGTON (GEORGE),21,Elegant Beauty,POINT (-87.60713590272276 41.79219927144036),-87.6071359,41.79219927,Luxon Karise,DuSable Museum,6209
WASHINGTON (GEORGE),21,Mosaic,POINT (-87.61551241680404 41.79346182484066),-87.61551242,41.79346183,Evelyn Henton,CPD,6210
WASHINGTON (GEORGE),21,Peculiar People,POINT (-87.61516515297915 41.79341378628889),-87.61516515,41.79341379,Damon Lamar Reed,CPD,6211
WEISMAN (ALBERT),1135,Something Fishy,POINT (-87.65173604712271 41.93505364742098),-87.65173605,41.93505365,"Martha Crandall, Chicago Mosaic School",CPD,6213
WEST PULLMAN,225,Memorial Drinking Fountain,POINT (-87.63221173120965 41.67036181483031),-87.63221173,41.67036182,Unknown,CPD,6214
WEST PULLMAN,225,Untitled Mural,POINT (-87.63188556120875 41.67023638512299),-87.63188556,41.67023639,Unknown,CPD,6215
WEST PULLMAN,225,Various Mosaics,POINT (-87.63197862647972 41.670325022412186),-87.63197863,41.67032502,Alicia Lee,CPD,6216
"WICKER (CHARLES, JOEL)",214,Playground Art,POINT (-87.67671488546499 41.90815572330411),-87.67671489,41.90815572,Carol Tarnoff,CPD,6217
PORTAGE,147,Fountains,POINT (-87.76640977457409 41.95370867267941),-87.76640977,41.95370867,DeStefano+Partners,CPD,6245
SEWARD (WILLIAM),108,Fountain,POINT (-87.63776079997567 41.90354222928275),-87.6377608,41.90354223,FOUNTAIN,CPD,6246
BURNHAM (DANIEL),27,1919 Race Riot Memorial Boulder,POINT (-87.60891961923606 41.842500809767984),-87.60891962,41.84250081,Unknown,CPD,6259
INDIAN BOUNDARY,165,Philip Rogers Memorial Stone & Tablet,POINT (-87.69332023220512 42.00870896064771),-87.69332023,42.00870896,,CPD,6274
MARQUETTE (JACQUES),10,Martin Luther King Living Memorial,POINT (-87.7034358398777 41.77138455498336),-87.70343584,41.77138456,,,6591
LINCOLN (ABRAHAM),100,Charitas,POINT (-87.63040616203067 41.92680677368819),-87.63040616,41.92680677,,,6592
JACKSON (ANDREW),19,Sky Landing,POINT (-87.58303088716352 41.785986585411656),-87.58303089,41.78598659,Yoko Ono,,6593
